시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
경기도,양평군,강상면다목적복지회관,경기도 양평군 강상면 송학길 60,644,127.477418,37.480135,김학제
경기도,양평군,강상마을회관,경기도 양평군 강상면 송학길 50,197,127.478663,37.480816,유성진
경기도,양평군,단월면복지회관,경기도 양평군 단월면 보룡길 44-1 ,796,127.673506,37.540858,엄정섭
경기도,양평군,청운면다목적복지회관,경기도 양평군 청운면 용두로164번길 9-4 ,508,127.711431,37.556455,구문경
경기도,양평군,다문초등학교,경기도 양평군 용문면 다문중앙2길 27,1194,127.59145,37.485263,신숙희
경기도,양평군,용문국민체육센터,경기도 양평군 용문면 용문체육공원길 55,1900,127.606927,37.492065,이규혁
경기도,양평군,개군면다목적복지회관,경기도 양평군 개군면 추읍로 37,345,127.542191,37.42822,이경구
강원도,춘천시,만천초등학교,강원도 춘천시 동면 후석로326번길 89,960,127.757398,37.884356,기호원
강원도,춘천시,춘천여자고등학교,강원도 춘천시 동면 만천양지길 95,615,127.763676,37.888433,
강원도,춘천시,장학초등학교,강원도 춘천시 동면 춘천로449번길 33,917,127.752228,37.895153,
강원도,춘천시,가정중학교,강원도 춘천시 남면 여우내길 20,739,127.577897,37.736946,
강원도,춘천시,강원애니고등학교,강원도 춘천시 서면 박사로 1025,881,127.699808,37.906135,
강원도,춘천시,춘천초등학교,강원도 춘천시 방송길7번길 14-5 (중앙로3가),753,127.721575,37.875019,유진규
강원도,춘천시,봉의초등학교,강원도 춘천시 춘천로 141(약사동),971,127.729604,37.87586,전명수
강원도,춘천시,중앙초등학교,강원도 춘천시 중앙로88번길 14(낙원동),2868,127.724226,37.879234,
강원도,춘천시,후평초등학교,강원도 춘천시 춘천로295번길 17(후평동),1052,127.744156,37.882772,손영자
