시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
경상북도,포항시,성법리 마을회관 주변,경상북도 포항시 북구 기북면 성법리 620-0,200,129.197139,36.176796,조상수
전라북도,정읍시,고부초등학교 운동장,전라북도 정읍시 고부면 고부리 161-0,4000,126.771626,35.621639,행정실장
전라북도,정읍시,태인면사무소 공터주차장,전라북도 정읍시 태인면 태창리 425-0,2800,126.932489,35.650708,총무담당
전라북도,정읍시,옹동전통문화생활관 공터주차장,전라북도 정읍시 옹동면 칠석리 171-13,2000,126.975407,35.643317,권혁봉
전라북도,정읍시,칠보초등학교 운동장,전라북도 정읍시 칠보면 무성리 25-1,4022,126.990027,35.607366,행정실장
전라북도,부안군,위도중고등학교 운동장,전라북도 부안군 위도면 진리 39-1,3284,126.296449,35.604566,
대구광역시,달서구,장기공영주차장,대구광역시 달서구 장기동   817-1,886,128.529602,35.843293,장기동 박광훈
경상북도,영주시,영광여자고등학교 운동장,경상북도 영주시 영주동   109-2,1000,128.621254,36.831981,
경상북도,영주시,영주남부초등학교 운동장,경상북도 영주시 휴천동   642-180,1000,128.617913,36.808075,
서울특별시,양천구,나말어린이공원,서울특별시 양천구 목동   724-1,1002,126.864468,37.538687,공원녹지과
경상북도,포항시,금장2리 마을회관 주변,경상북도 포항시 북구 흥해읍 금장리 184-1,200,129.374333,36.128875,조상수
전라북도,부안군,곰소초등학교 운동장,전라북도 부안군 진서면 진서리 1047-0,5101,126.599848,35.595966,
전라북도,부안군,하서중학교 운동장,전라북도 부안군 하서면 석상리 406-1,5073,126.637569,35.714142,
인천광역시,옹진군,연평초중고등학교 운동장,인천광역시 옹진군 연평면 연평리 437-1,3848,125.701286,37.663807,
전라북도,부안군,부안중학교 운동장,전라북도 부안군 부안읍 서외리 410-1,7482,126.724877,35.727392,
전라북도,부안군,상서초등학교 운동장,전라북도 부안군 상서면 통정리 416-2,7205,126.659022,35.707671,
경상북도,포항시,기일리 노인정 주변,경상북도 포항시 북구 신광면 기일리 618-0,200,129.236518,36.173375,조상수
경상북도,포항시,신창2리 마을회관 주변,경상북도 포항시 남구 장기면 신창리 368-0,200,129.527374,35.886138,
전라북도,김제시,김제고등학교,전라북도 김제시 신풍동   345-1,6862,126.895359,35.79129,
서울특별시,용산구,용산2가동 마을휴식공간,서울특별시 용산구 용산동2가   1-1923,112,126.984404,37.545031,
경기도,이천시,부원고등학교 운동장,경기도 이천시 장호원읍 장호원리 261-6,4788,127.620008,37.115823,
인천광역시,옹진군,연평 종합운동장,인천광역시 옹진군 연평면 연평리 325-160,19805,125.704703,37.662159,김주한
서울특별시,양천구,창의어린이놀이터,서울특별시 양천구 목동   517,6606,126.878702,37.546558,공원녹지과장
경상북도,포항시,우복1리 마을회관,경상북도 포항시 남구 연일읍 우복리 323-0,200,129.342828,35.971006,조상수
경상북도,포항시,원동8 어린이공원,경상북도 포항시 남구 오천읍 원리 1135-0,4000,129.403486,35.973988,조상수
경상북도,포항시,원동12 근린공원,경상북도 포항시 남구 오천읍 원리 919-0,2700,129.406361,35.968784,조상수
경상북도,포항시,문덕5 어린이공원,경상북도 포항시 남구 오천읍 문덕리 319-6,1500,129.404431,35.959937,조상수
경상북도,포항시,갈평리 마을회관 주변,경상북도 포항시 남구 오천읍 갈평리 139-0,200,129.402526,35.919726,조상수
경상북도,포항시,남성1리 마을회관 주변,경상북도 포항시 남구 대송면 남성리 268-1,200,129.353454,35.976211,조상수
경상북도,포항시,남송3리 마을회관 주변,경상북도 포항시 북구 흥해읍 남송리 228-0,200,129.383341,36.112604,조상수
경상북도,포항시,봉계리 마을회관 주변,경상북도 포항시 북구 죽장면 봉계리 255-0,200,129.052682,36.197051,조상수
경상북도,포항시,지동리 마을회관 주변,경상북도 포항시 북구 죽장면 지동리 639-0,200,129.081239,36.123002,조상수
경기도,연천군,연천노곡초등학교 운동장,경기도 연천군 백학면 노곡리 714-2,2000,126.916733,37.998552,연천노곡초등학교 행정실
전라북도,정읍시,북부노인복지관 주차장,전라북도 정읍시 신태인읍 신태인리 66-2,5100,126.889504,35.688998,관장
경상북도,영덕군,구 초등학교,경상북도 영덕군 영덕읍 화천리 137,1397,129.381995,36.463263,
경상북도,포항시,두마리 마을회관 주변,경상북도 포항시 북구 죽장면 두마리 885-0,200,129.025518,36.168172,조상수
전라북도,김제시,난산초등학교,전라북도 김제시 백구면 영상리 343-0,5000,126.995118,35.877062,
